complaint_id,complaint_type,address,street_number,direction,street_name,street_type,inspector,complaint_date,inspection_log,data_source,modified_date,location.type,location.coordinates,complaint_detail,community_area
601289948,NOISE COMPLAINT,600 S FEDERAL ST,600,S,FEDERAL,ST,417325,2023-01-03T00:00:00.000,[INSPECTION LOG #: 18395809  ] REPEAT COMPLAINT. SEE SR#:601251072,DEPT. OF PUBLIC HEALTH,2023-01-06T00:00:00.000,Point,"[-87.629936034, 41.874297006]",,32
601290002,CONSTRUCTION AND DEMOLITION,1503 N TALMAN AVE,1503,N,TALMAN,AVE,10937,2023-01-03T00:00:00.000,"[INSPECTION LOG #: 18380757 04-JAN-23 13:50:00] IN RESPONSE TO A PREVIOUS COMPLIANT, ENGINEERS K. GRAHAM AND I, ARRIVED TO SITE FOR A FOLLOW UP INSPECTION. WHILE ON THE SITE WE MET WITH KYLE O. WHO IDENTIFIED HIMSELF AS THE SITE OWNER REGARDING THE COMPLAINT. WE INFORMED THE OWNER OF THE NATURE OF THE COMPLAINT. THE OWNER STATED THAT NORTH FENCE OF THE SITE WAS REMOVED TO COMPLETED THE CONSTRUCTION AND THE DEBRIS ON THE PARKWAY DID NOT BELONG TO HIM. HOWEVER, THE OWNER STATED THAT HE WOULD REMOVED THE DEBRIS FROM THE PUBLIC WAY, CLEAN THE SITE AND SECURE AS NEEDED. ENGINEERS GAVE THE OWNER A VERBAL WARNING REGARDING SITE CLEANLINESS.",DEPT. OF PUBLIC HEALTH,2023-01-04T00:00:00.000,Point,"[-87.693027038, 41.908621989]",,24
601290004,AIR POLLUTION WORK ORDER,2653 S LAWNDALE AVE,2653,S,LAWNDALE,AVE,10937,2023-01-03T00:00:00.000,"[INSPECTION LOG #: 18395243 06-JAN-23 10:20:00] IN RESPONSE TO A COMPLAINT OF DUST AND DEBRIS I CONDUCTED AN INSPECTION OF THE RESIDENTIAL ADDRESS, 2653 S. LAWNDALE AVENUE, CHICAGO, ILLINOIS. UPON ARRIVAL TO THIS ADDRESS, I OBSERVED A RESIDENTIAL/COMMERCIAL BUILDING WITH THE LOWER LEVEL BEING RENOVATED FOR COMMERCIAL AND THE SECOND LEVEL USED FOR RESIDENTIAL. ACCORDING TO MY CONVERSATION WITH THE COMPLAINANT, DUST AND DEBRIS FROM THE FIRST-FLOOR COMMERCIAL RENOVATIONS ARE ENTERING HER SECOND-FLOOR RESIDENTIAL SPACE. THE COMPLAINANT STATED THAT SHE SPOKE WITH THE BUILDING OWNER, BUT NO CLEAR RESOLUTION WAS REACHED. I INFORMED THE COMPLAINANT OF THE CITY ORDINANCE AND THE CHALLENGES OF RESOLVING SUCH COMPLAINTS. AT THE CLOSE OF THE CONVERSATION WITH THE COMPLAINANT, I INFORMED HER THAT I WILL CONTACT THE BUILDING OWNER REGARDING THIS COMPLAINT IN THE HOPE OF RESOLVING HER ISSUES. DURING THE INSPECTION I WAS NOT ABLE TO ENTER THE BUILDING. NO CONSTRUCTION ACTIVITY WAS OBSERVED AT THIS TIME. I WILL REFER THIS SITE TO THE DEPARTMENT OF BUILDINGS FOR FURTHER INVESTIGATION FOR PERMITTED CONSTRUCTION ACTIVITY.",DEPT. OF PUBLIC HEALTH,2023-01-06T00:00:00.000,Point,"[-87.716836002, 41.842803011]",,30
601290001,NOISE COMPLAINT,518 W ARLINGTON PL,518,W,ARLINGTON,PL,129151,2023-01-03T00:00:00.000,[INSPECTION LOG #: 18378664 03-JAN-23 12:50:00] ON TODAYS DATE THE CDPH INSPECTOR RESPONDED TO A CITIZEN COMPLAINT OF NOISE AT 518 W ARLINGTON PL IT WAS REPORTED THAT THERE WAS NOISE AND A TELEPHONE CALL TO OBTAIN FURTHER INFORMATION WENT UNANSWERED. UPON ARRIVAL NO NOISE WAS HEARD NO EQUIPMENT WAS OBSERVED IN THE VICINITY OF THE ADDRESS PROVIDED. THE COMPLAINT WILL BE CLOSED AT THIS TIME.,DEPT. OF PUBLIC HEALTH,2023-01-04T00:00:00.000,Point,"[-87.64217202, 41.926956983]",,7
601289972,NOISE COMPLAINT,2742 W ALTGELD ST,2742,W,ALTGELD,ST,417325,2023-01-03T00:00:00.000,"[INSPECTION LOG #: 18389638 03-JAN-23 14:25:00] ON JANUARY 3, 2023, CHICAGO DEPARTMENT OF PUBLIC HEALTH (CDPH) SENIOR ENVIRONMENTAL INSPECTOR JUSTIN BARNES RESPONDED TO A NOISE COMPLAINT AT 2742 W. ALTGELD ST. INSPECTOR BARNES ARRIVED AT 1:50PM TO SPEAK ? VIA TELEPHONE ? WITH THE COMPLAINANT.THE COMPLAINANT STATED LOUD NOISES WERE EMANATING FROM A CONSTRUCTION SITE LOCATED AT THE ABOVE LISTED ADDRESS. THE COMPLAINANT STATED THE NOISES WERE MOST DISTURBING DURING THE EARLY MORNING HOURS. INSPECTOR BARNES REVIEWED THE GENERAL REQUIREMENTS OF THE CHICAGO NOISE ORDINANCE IN THE MUNICIPAL CODE OF CHICAGO WITH THE COMPLAINANT.FOLLOWING HIS PHONE CONVERSATION WITH THE COMPLAINANT, INSPECTOR BARNES SURVEYED THE AREA (PHOTOS A, B, C  D). DURING THE SURVEY, INSPECTOR BARNES OBSERVED CONSTRUCTION OPERATIONS AT THE WORKSITE. ADDITIONALLY, INSPECTOR BARNES OBSERVED INCIDENTAL NOISES EMANATING FROM THE WORKSITE. WHEN THE CONSTRUCTION NOISES WERE NOT PRESENT, INFORMATIONAL NOISE METER READINGS TAKEN OF THE SURROUNDING AMBIENT SOUNDS WERE WITHIN ALLOWABLE LEVELS FROM 8:00PM TO 8:00AM.ADDITIONALLY, WHILE SURVEYING THE WORKSITE, INSPECTOR BARNES OBSERVED EXTENSIVE ISSUES ON THE SITE RELATED TO COMPLIANCE WITH THE CONSTRUCTION SITE CLEANLINESS ORDINANCE. INSPECTOR BARNES OBSERVED EXTENSIVE DIRT/DEBRIS MIGRATION OFF THE NORTHWESTERN EDGE OF THE WORKSITE RESULTING FROM EQUIPMENT/VEHICLE TRACKS (PHOTOS D, E, F,  G). INSPECTOR BARNES ALSO OBSERVED THE CONSTRUCTION SITE TO LACK THE REQUIRED CONTINUOUS, SECURED CHAIN LINK FENCE AROUND THE PERIMETER. INSPECTOR BARNES OBSERVED THE EXISTING PERIMETER FENCING TO HAVE MULTIPLE OPENINGS (PHOTO H). FINALLY, INSPECTOR BARNES OBSERVED EQUIPMENT, MATERIALS/SUPPLIES, AND CONSTRUCTION DEBRIS STAGED BEYOND THE WORKSITE PERIMETER (PHOTO I).FOLLOWING THE SURVEY, INSPECTOR BARNES MET WITH THE CONTRACTOR FOREMAN IN PERSON, AND THE SITE DEVELOPER ? VIA TELEPHONE ? TO REVIEW BOTH THE NOISE COMPLAINT AND THE CONSTRUCTION SITE CLEANLINESS ORDINANCE COMPLIANCE ISSUES. THE CONTRACTOR FOREMAN BOTH DOUBTED THE VALIDITY OF THE COMPLAINT AND DISPUTED THE FINDINGS OF INSPECTION. THE DEVELOPER STATED THEY WOULD ENSURE THE NO NOISE WOULD EMANATE FROM THE SITE BEFORE 8:00AM AND THEY WOULD ADDRESS THE CONSTRUCTION SITE CLEANLINESS ORDINANCE COMPLIANCE ISSUES IMMEDIATELY. INSPECTOR BARNES REVIEWED THE GENERAL REQUIREMENTS OF BOTH THE CHICAGO NOISE ORDINANCE AND THE CONSTRUCTION SITE CLEANLINESS ORDINANCE WITH THE WORKSITE REPRESENTATIVES.WHILE STILL ON SITE, INSPECTOR BARNES OBSERVED THE CONTRACTOR BEGIN TO ADDRESS THE ORDINANCE ISSUES. CDPH DETERMINED NO CITATIONS WERE REQUIRED.",DEPT. OF PUBLIC HEALTH,2023-01-05T00:00:00.000,Point,"[-87.696803002, 41.926819981]",,22
601290003,AIR POLLUTION WORK ORDER,1503 N TALMAN AVE,1503,N,TALMAN,AVE,10937,2023-01-03T00:00:00.000,"[INSPECTION LOG #: 18380824 04-JAN-23 13:50:00] IN RESPONSE TO A PREVIOUS COMPLIANT, ENGINEERS K. GRAHAM AND I, ARRIVED TO SITE FOR A FOLLOW UP INSPECTION. WHILE ON THE SITE WE MET WITH KYLE O. WHO IDENTIFIED HIMSELF AS THE SITE OWNER REGARDING THE COMPLAINT. WE INFORMED THE OWNER OF THE NATURE OF THE COMPLAINT. THE OWNER STATED THAT NORTH FENCE OF THE SITE WAS REMOVED TO COMPLETED THE CONSTRUCTION AND THE DEBRIS ON THE PARKWAY DID NOT BELONG TO HIM. HOWEVER, THE OWNER STATED THAT HE WOULD REMOVED THE DEBRIS FROM THE PUBLIC WAY, CLEAN THE SITE AND SECURE AS NEEDED. ENGINEERS GAVE THE OWNER A VERBAL WARNING REGARDING SITE CLEANLINESS.",DEPT. OF PUBLIC HEALTH,2023-01-04T00:00:00.000,Point,"[-87.693027038, 41.908621989]",,24
601289993,NOISE COMPLAINT,10100 S WESTERN AVE,10100,S,WESTERN,AVE,129151,2023-01-03T00:00:00.000,"[INSPECTION LOG #: 18377675  ] SEE PREVIOUS SR NUMBERS, A CITATION HAS BEEN ISSUED, AWAITING COURT DATE.",DEPT. OF PUBLIC HEALTH,2023-01-04T00:00:00.000,Point,"[-87.682202983, 41.709730994]",,72
601289985,NOISE COMPLAINT,516 W ARLINGTON PL,516,W,ARLINGTON,PL,417325,2023-01-03T00:00:00.000,"[INSPECTION LOG #: 18378973 03-JAN-23 14:55:00] ON JANUARY 3, 2023, CHICAGO DEPARTMENT OF PUBLIC HEALTH (CDPH) SENIOR ENVIRONMENTAL INSPECTOR JUSTIN BARNES RESPONDED TO A NOISE COMPLAINT AT 516 W. ARLINGTON PL. INSPECTOR BARNES ARRIVED AT 2:40PM TO ATTEMPT TO SPEAK ? VIA TELEPHONE ? WITH THE COMPLAINANT. THE COMPLAINANT DID NOT ANSWER INSPECTOR BARNES? CALL OR RESPOND TO HIS VOICE MAIL MESSAGE.ACCORDING TO THE CITY OF CHICAGO?S 311 SYSTEM, THE COMPLAINANT STATED LOUD NOISES WERE EMANATING FROM THE AREA AROUND THE RESIDENTIAL BUILDING LOCATED AT THE ABOVE LISTED ADDRESS.FOLLOWING HIS ATTEMPT TO CONTACT THE COMPLAINANT, INSPECTOR BARNES SURVEYED THE AREA (PHOTOS A, B,  C). DURING THE SURVEY, INSPECTOR BARNES DID NOT OBSERVE THE SOUND OR DETECT A POTENTIAL SOURCE FOR THE SOUND. ADDITIONALLY, INFORMATIONAL NOISE METER READINGS TAKEN OF THE SURROUNDING AMBIENT SOUNDS WERE WITHIN ALLOWABLE LEVELS FROM 8:00PM TO 8:00AM.AS THE COMPLAINANT DID NOT RESPOND TO INSPECTOR BARNES, NO FOLLOW UP COULD BE CONDUCTED. INSPECTOR BARNES DETERMINED NO CITATIONS WERE REQUIRED.",DEPT. OF PUBLIC HEALTH,2023-01-04T00:00:00.000,Point,"[-87.642213007, 41.927093985]",,7
601290003,AIR POLLUTION WORK ORDER,1503 N TALMAN AVE,1503,N,TALMAN,AVE,10937,2023-01-03T00:00:00.000,"[INSPECTION LOG #: 18380777 03-JAN-23 14:45:00] IN RESPONSE TO A COMPLAINT, I ARRIVED THE SITE AT 1503 N. TALMAN AND OBSERVED A PARTIALLY COMPLETED RESIDENTIAL BUILDING UNDER CONSTRUCTION. UPON ARRIVAL TO THE SITE I OBSERVED MESH NETTING ON THE FRONT AND REAR FENCING. I INTERVIEWED A WORKER ON THE SITE REGARDING THE COMPLAINT. ACCORDING TO THE WORKER THE GAS POWER GENERATOR IN USE ON THE SITE THAT CAUSED FUMES IN THE AIR, BUT HAS SINCE BEEN REMOVED. NO FUMES WERE DETECTED AT THE TIME OF THE INSPECTION. THE CONSTRUCTION SITE WAS IN FAIR CONDITION. ON THE NORTH SIDE OF THE SITE, THE CONSTRUCTION FENCE WAS REMOVED IN ORDER TO COMPLETE THE CONSTRUCTION. AT THE TIME OF THE INSPECTION THE SITE OWNER WAS NOT AVAILABLE. A FOLLOW UP INSPECTION WILL BE PERFORMED WHEN THE OWNER IS PRESENT.",DEPT. OF PUBLIC HEALTH,2023-01-04T00:00:00.000,Point,"[-87.693027038, 41.908621989]",,24
601289883,CONSTRUCTION AND DEMOLITION,5849 S CARPENTER ST,5849,S,CARPENTER,ST,84397,2023-01-03T00:00:00.000,"[INSPECTION LOG #: 18402097 03-JAN-23 15:15:00] ON JANUARY 3, 2023 DEPARTMENT OF PUBLIC HEALTH INSPECTOR DWIGHT T-KILGORE RESPONDED TO A 311 COMPLAINT AT 5849 S. CARPENTER ST. ABOUT CONSTRUCTION DEBRIS FALLING IN THE STREET FROM THE BUILDING, UPON ARRIVING AT THE ABOVE ADDRESS I DID NOT NOTICE ANY DEBRIS IN THE STREET OR ON THE SIDEWALK (NOTICE SOME ON THE SIDE IN BACK, I CALLED THE COMPLAINT AND IT WAS THE 16TH WARD SUPERINTENDENT HE INFORMED ME THAT THE CHURCH IS BEING REHABITED AND THE WORKERS ARE THROWING DEBRIS OUT ONTO THE STREET HE HAD HIS CREW CLEAN UP AND DID NOT WANT TO SEE MORE DEBRIS AND WOULD LIKE TO REFER THIS OVER TO DEPARTMENT OF BUILDINGS.",DEPT. OF PUBLIC HEALTH,2023-01-09T00:00:00.000,Point,"[-87.65083304, 41.787343981]",,68
