neighborhood,last
,358
Albany Park,16
Andersonville,2
Archer Heights,1
Armour Square,3
Ashburn,21
Auburn Gresham,41
Austin,50
Avalon Park,16
Avondale,11
Belmont Cragin,36
Beverly,7
Boystown,1
Bridgeport,20
Brighton Park,46
Bucktown,1
Burnside,2
Calumet Heights,4
Chatham,11
Chicago Lawn,28
Chinatown,1
Clearing,11
Douglas,3
Dunning,9
East Side,2
East Village,1
Edgewater,5
Englewood,99
Fuller Park,3
Gage Park,9
Galewood,2
Garfield Park,58
Garfield Ridge,20
Gold Coast,5
Grand Boulevard,17
Grand Crossing,10
Grant Park,5
Hegewisch,12
Hermosa,6
Humboldt Park,51
Hyde Park,17
Irving Park,23
Jackson Park,2
Jefferson Park,8
Kenwood,2
Lake View,15
Lincoln Park,9
Lincoln Square,18
"Little Italy, UIC",8
Little Village,32
Logan Square,20
Loop,13
Lower West Side,16
Mckinley Park,13
Montclare,6
Morgan Park,26
Mount Greenwood,10
Near South Side,4
New City,41
North Center,18
North Lawndale,48
North Park,1
Norwood Park,8
O'Hare,4
Portage Park,27
Pullman,12
River North,39
Riverdale,47
Rogers Park,14
Roseland,67
Rush & Division,5
"Sauganash,Forest Glen",4
South Chicago,49
South Deering,31
South Shore,30
Streeterville,2
United Center,12
Uptown,25
Washington Heights,15
Washington Park,4
West Elsdon,2
West Lawn,8
West Loop,26
West Pullman,37
West Ridge,14
West Town,17
Wicker Park,3
Woodlawn,11
Wrigleyville,3
no match,1002
